episodes,steps,iteration,avg_return
1036,1036000,0,-289.92547379557794
2316,2316000,1,-380.10888057268625
3596,3596000,2,-340.3296189450712
4876,4876000,3,-320.69790911223754
6156,6156000,4,-357.54670279787126
7436,7436000,5,-270.02541273653856
8716,8716000,6,-360.7205362253736
9996,9996000,7,-358.836201446791
11276,11276000,8,-342.92055364722904
12556,12556000,9,-354.94617456587014
13836,13836000,10,-345.15339497198346
15116,15116000,11,-349.034660248785
16396,16396000,12,-353.13001610908117
17676,17676000,13,-378.88354874648263
18956,18956000,14,-311.49087409247954
20236,20236000,15,-356.8865081002736
